sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.0032798006337076877,0.002031889754522105,4.473975726670551,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693850429062874,0.002031889754522105,1.2365508860968606,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16961987598855763,0.002031889754522105,34.57939528364434,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833379028757943,0.002031889754522105,1.8619801009710164,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520132150525,0.002031889754522105,2.150840513731244,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193172386513657,0.002031889754522105,1.7832117974171229,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795568402454146,0.002031889754522105,2.1510782086220868,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693845030821086,0.002031889754522105,1.2365508340290046,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.000973155520325676,0.002031889754522105,2.1484563353799375,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384355017374,0.002031889754522105,1.2365508006124786,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243157911809,0.002031889754522105,2.151104618833338,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778492352885,0.002031889754522105,2.124606548932145,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.000979617594277898,0.002031889754522105,2.1511019756277863,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796236452821777,0.002031889754522105,2.15110438054165,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693851424112565,0.002031889754522105,1.2365509042004261,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.000979624352447716,0.002031889754522105,2.1511046276514327,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.003279800663367785,0.002031889754522105,4.473975748504985,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693850872112686,0.002031889754522105,1.2365508945927184,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693844498929585,0.002031889754522105,1.2365507760966932,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,inf,inf,inf,inf
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693851949472225,0.002031889754522105,1.2365509152924876,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693851914868634,0.002031889754522105,1.2365509143874707,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693860362899846,0.002031889754522105,1.2365509532458576,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962145131614084,0.002031889754522105,34.57957336991183,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384980901851,0.002031889754522105,1.2365508548335769,3.447983411154678
